"name","essround","edition","proddate","cntry","idno","intagea","intgndr","resclq","resrelq","resbab","resundq","preintf","prewhp","presd","preppil","preorel","prenrel","predk","prenap","prena","resswcd","vdovexin","vdtpsvin","vdtpitin","vdtpscin","vdtpauin","vdtpviin","vdtpoiin","vdtpntin","vdtpapre","vdtprein","vdtpdkin","vdtpnain","intlnga","intnum"
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11227,63,1,1,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"DUT",3136
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11259,68,1,2,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"FRE",2840
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11261,45,2,2,2,4,3,2,0,0,0,0,0,0,1,0,2,7,0,0,0,0,0,0,0,1,0,0,0,"FRE",2173
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11273,70,1,2,1,5,4,1,0,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"FRE",2436
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11274,71,1,4,3,4,3,2,0,0,0,0,0,0,1,0,3,6,0,0,0,0,0,0,0,1,0,0,0,"DUT",3149
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11284,31,2,2,1,4,4,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"DUT",2555
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11300,60,1,2,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"DUT",531
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11323,59,1,3,2,4,3,1,1,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"DUT",2292
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11328,45,2,3,3,4,4,2,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,1,0,0,0,"DUT",2268
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11350,61,1,3,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"DUT",2441
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11365,65,2,2,1,5,4,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"DUT",3374
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11372,80,2,2,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"FRE",3764
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11384,45,2,2,2,4,5,2,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,1,0,0,0,"DUT",2268
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11387,71,1,3,2,4,4,1,1,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"DUT",3149
