"Country","COUNTRY","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HealthExp","MedicalDoctors","HospitalBeds","Internet","Literacy","capital","SchoolYears","Unemployment","GDP"
"106","Kenya","KEN","Africa","Sub-Saharan Africa",66.76222,30.51059,48948.137,10.00684,5.59667,4.32604,2.89,13.3,32.09542,82.879997253418,"Nairobi",11.6346340179443,5.567,5682.98916248678
"107","Kyrgyzstan","KGZ","Asia","Europe & Central Asia",72.185,15.42048,6198.2,36.19292,4.584,4.92259,18.5,42.26422,21.72351,99.5999984741211,"Bishkek",12.8724975585938,3.991,6403.14308780476
"108","Cambodia","KHM","Asia","East Asia & Pacific",68.924,20.33493,15830.689,17.42911,3.5008,4.7109,2.11,7.41518,4.93986,83.7799987792969,"Phnom Penh",9.46578025817871,0.225,6690.58942585792
"109","Kiribati","KIR","Oceania","East Asia & Pacific",60.87346,43.9286,120.362,7.98411,2.323,10.49855,1.93,18.6,10.7468,97.9597091674805,"Tarawa",11.2123680114746,NA,3195.87039847415
"110","St. Kitts & Nevis","KNA","Americas","Latin America & Caribbean",NA,13.32323,47.785,7.6249,NA,5.56802,30.85,43.2714,79.3489,NA,NA,12.9526405334473,NA,30409.4041094129
"111","South Korea","KOR","Asia","East Asia & Pacific",83.79982,2.36989,51361.911,21.95402,0.75403,9.43414,26.1,127.51943,84.1,98.8000030517578,"Seoul",13.5934190750122,2.675,49995.4877276869
"112","Kuwait","KWT","Asia","Middle East & North Africa",78.95212,7.37069,4124.904,67.6717,2.45748,4.26876,22.73,23.4976,79.1782,96,"Kuwait City",12.0337619781494,2.127,46458.2004898213
"113","Laos","LAO","Asia","East Asia & Pacific",68.23189,32.70243,6997.917,23.29719,9.42083,2.03273,3.31,13.14468,10.74768,87.5199966430664,"Vientiane",10.614652633667,1.188,8372.15591874407
"114","Lebanon","LBN","Asia","Middle East & North Africa",74.34207,14.90517,6109.252,24.35773,1.79002,5.735,26.8,27.3,61.24979,93,"Beirut",10.1555166244507,11.543,11474.7505845558
"115","Liberia","LBR","Africa","Sub-Saharan Africa",63.45731,54.92087,4796.631,35.79581,14.77516,13.47386,1.78,15.9,3.7941,48.3013610839844,"Monrovia",4.15698862075806,2.933,1616.92373356695
"116","Libya","LBY","Africa","Middle East & North Africa",72.17844,8.85173,6378.261,29.83557,0.87227,4.65006,20.42,32,19.8637,76.5,"Tripoli",NA,18.753,12478.1434623596
"117","St. Lucia","LCA","Americas","Latin America & Caribbean",71.11304,16.0256,177.163,9.00297,33.69136,5.01938,42.34,19.64915,48.6281,NA,NA,12.6871833801269,11.092,23403.4617661837
"118","Liechtenstein","LIE","Europe","Europe & Central Asia",NA,NA,37.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Sri Lanka","LKA","Asia","South Asia",77.22895,5.5514,21444,23.87759,4.06247,4.3627,11.36,40.19327,18.2854,92,"Colombo",13.2221622467041,5.997,13029.523937847
"120","Lesotho","LSO","Africa","Sub-Saharan Africa",51.47907,56.41325,2170.617,18.5466,69.92583,12.65128,2.35,13,4.58962,82.0100021362305,"Maseru",10.0436792373657,16.457,2595.82952310453
"121","Lithuania","LTU","Europe","Europe & Central Asia",74.13315,2.88484,2828.403,11.6698,7.39919,7.24335,61.04,59.57593,68,99.8300018310547,"Vilnius",13.8328495025635,6.841,46118.092510024
"122","Luxembourg","LUX","Europe","Europe & Central Asia",82.78029,2.19694,596.336,8.89471,0.50137,5.55155,29.84,41.48151,92,NA,NA,12.4221620559692,5.184,130373.477941928
"123","Latvia","LVA","Europe","Europe & Central Asia",73.20252,2.75696,1942.248,14.13153,2.85761,7.62168,33.98,52.95058,74,99.8899993896484,"Riga",13.6181030273438,6.465,38333.1714338943
"124","Macao SAR China","MAC","Asia","East Asia & Pacific",NA,NA,638.609,NA,NA,NA,NA,NA,NA,97.1100006103516,"",12.9030666351318,2.235,104961.643485494
"125","Saint Martin (French part)","MAF","Americas","Latin America & Caribbean",NA,NA,34.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Morocco","MAR","Africa","Middle East & North Africa",72.61868,14.79218,35528.115,13.91907,1.73295,5.68049,7.4,7.33903,55,77.3499984741211,"Rabat",10.3798542022705,9.044,8868.7119140625
"127","Monaco","MCO","Europe","Europe & Central Asia",NA,2.30944,37.044,9.21092,NA,3.3978,86.09,220.16062,87,NA,NA,NA,NA,NA
"128","Moldova","MDA","Europe","Europe & Central Asia",69.55781,12.18544,2755.189,12.73691,2.53301,6.96505,40.16,56.60285,43.37,99.5999984741211,"Chisinau",11.8109121322632,1.555,15855.2737421842
"129","Madagascar","MDG","Africa","Sub-Saharan Africa",62.93426,45.12447,26169.542,20.88511,3.19927,3.25023,1.72,3.2429,2.0549,77.4800033569336,"Antananarivo",8.39830303192139,3.069,1643.30934795137
"130","Maldives","MDV","Asia","South Asia",75.39664,4.76914,472.442,13.79329,1.88391,9.65276,22.35,50.41,38.9301,97.8600006103516,"Male",NA,4.241,22286.9801703571
"131","Mexico","MEX","Americas","Latin America & Caribbean",70.83259,11.04619,122839.258,17.82781,5.76687,5.72145,25.88,10.19793,38.42,95,"Mexico City",12.8240079879761,2.765,21874.0161543764
"132","Marshall Islands","MHL","Oceania","East Asia & Pacific",NA,23.96455,47.187,7.54579,NA,11.73604,4.67,27.33289,10,98,"Majuro",9.43173313140869,NA,6786.69569336005
"133","North Macedonia","MKD","Europe","Europe & Central Asia",72.99536,4.07199,2074.502,23.78762,2.18649,7.62041,29.44,42.20132,63.1477,97.5999984741211,"Skopje",11.0252952575684,13.174,23323.9034075339
"134","Mali","MLI","Africa","Sub-Saharan Africa",61.67399,60.07524,19311.355,34.75342,5.05012,3.67285,1.88,2.53332,2.1689,31,"Bamako",5.24293899536133,2.956,2394.67216396924
"135","Malta","MLT","Europe","Middle East & North Africa",81.81194,4.8879,467.999,12.2127,0.71446,9.52377,78.55,43.83361,70,94.9400024414062,"Valletta",13.427845954895,3.11,59548.0829356446
"136","Myanmar (Burma)","MMR","Asia","East Asia & Pacific",67.84581,32.4933,52288.341,27.57868,3.93056,5.20476,7.57,10.61299,1.0691,89,"Naypyidaw",9.9909725189209,3.032,5364.13797034407
"137","Montenegro","MNE","Europe","Europe & Central Asia",74.70975,2.29239,622.373,18.29572,2.7897,10.92242,27.83,38.10523,NA,98.9800033569336,"Podgorica",12.765830039978,14.621,27342.823774098
