"Country","COUNTRY","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HealthExp","MedicalDoctors","HospitalBeds","Internet","Literacy","capital","SchoolYears","Unemployment","GDP"
"123","Latvia","LVA","Europe","Europe & Central Asia",74.8108617,2.720019564,1866.124,12.84245,5.957993966,5.84916782,33.38,54.21918677,74,99.9000015258789,"Riga",13.6181030273438,6.9,37611.6699359404
"124","Macao SAR China","MAC","Asia","East Asia & Pacific",NA,NA,687,NA,NA,NA,NA,NA,NA,96.5400009155273,"",12.9030666351318,2.262,111693.502831434
"125","Morocco","MAR","Africa","Middle East & North Africa",72.50615909,17.303001713,38081.173,13.44048,1.75158173,5.75281,7.93,7.302350039,55,64.2600021362305,"Rabat",10.3798542022705,9.103,9162.7470703125
"126","Monaco","MCO","Europe","Europe & Central Asia",NA,4.071385406,38.631,10.76834,NA,3.67494631,86.09,219.886599364,87,NA,NA,NA,NA,NA
"127","Moldova","MDA","Europe","Europe & Central Asia",73.32010877,13.492511012,2402.306,13.29578,5.316063999,6.70760345,40.22,56.852216802,43.37,99.3600006103516,"Chisinau",11.8109121322632,1.427,16376.6113704265
"128","Madagascar","MDG","Africa","Sub-Saharan Africa",63.46510267,44.175046993,31964.956,16.02251,6.686764576,4.22160387,1.46,3.916032993,2.0549,74.6900024414062,"Antananarivo",8.39830303192139,3.051,1657.04970622969
"129","Maldives","MDV","Asia","South Asia",78.67792046,15.161310643,527.799,13.00334,2.101183261,11.43943214,13.2,49.41,38.9301,98.2099990844727,"Male",NA,4.278,23034.4098404839
"130","Mexico","MEX","Americas","Latin America & Caribbean",75.8344286,29.997481081,130861.007,18.75159,26.83867028,6.05248594,20.07,10.143444468,38.42,95.7654716766416,"Mexico City",12.8240079879761,2.678,22039.6287019016
"131","Marshall Islands","MHL","Oceania","East Asia & Pacific",NA,27.924121419,37.548,7.10208,NA,13.60796833,NA,28.041870738,10,95.8342549583425,"Majuro",9.43173313140869,NA,7209.26654997536
"132","North Macedonia","MKD","Europe","Europe & Central Asia",74.37069175,10.896722737,1824.359,30.05632,1.458686322,7.42164755,33.15,46.652610633,63.1477,96.129997253418,"Skopje",11.0252952575684,12.265,23029.4145629581
